feature_set,n_features,n_states,best_seed,train_loglik,test_loglik,aic_train,bic_train,test_accuracy,test_balanced_accuracy
A_price_only,3,3,47,-1216.4771279030197,-274.3331177091954,2484.9542558060393,2584.1991459650826,0.5476190476190477,0.5
A_price_only,3,4,43,-1172.0827675759645,-273.238788775458,2422.165535151929,2571.032870390494,0.5476190476190477,0.5297482837528604
B_price_psychology,6,3,42,-2159.253379376066,-505.0462789745863,4406.506758752132,4574.459649790512,0.5833333333333334,0.5715102974828375
B_price_psychology,6,4,48,-2001.1949488257817,-478.8894149075418,4128.389897651563,4368.867900729245,0.5476190476190477,0.5366132723112128
C_price_macro,5,3,44,-2155.0259908040966,-508.94244647776077,4386.051981608193,4531.102205686795,0.4642857142857143,0.46739130434782605
C_price_macro,5,4,43,-2105.344470438772,-517.145056966954,4320.688940877544,4530.63005467552,0.4166666666666667,0.4467963386727689
D_price_trader,5,3,50,-1848.795927921264,-437.1300993226085,3773.591855842528,3918.6420799211296,0.4523809523809524,0.4679633867276888
D_price_trader,5,4,45,-1723.5487408131678,-426.2514644247734,3557.0974816263356,3767.038595424312,0.5,0.5045766590389016
E_compact_combined,7,3,51,-2626.187943514887,-667.030009576224,5352.375887029774,5543.231445027935,0.5476190476190477,0.5
E_compact_combined,7,4,48,-2383.9233307764034,-598.6755023861401,4909.846661552807,5180.861553910195,0.5357142857142857,0.5257437070938216
